ExpCode,Participant,CFS_Cover,WithCatch,CFS.congruent.aligned,CFS.congruent.misaligned,CFS.incongruent.aligned,CFS.incongruent.misaligned,monocular.congruent.aligned,monocular.congruent.misaligned,monocular.incongruent.aligned,monocular.incongruent.misaligned
E2,8222,both,1,3.604817611491525,3.604817611491525,3.3917521079809543,3.919927969080107,3.3994954554785095,2.8945532756135335,2.7952030073274794,3.2415155500846544
E2,8223,both,1,2.2161408566180807,1.9919706139489222,2.0728667789875788,1.710923139689871,3.604817611491525,2.879062941876912,3.2415155500846544,1.7918484158542587
E2,8224,both,1,2.31798495503839,2.879062941876912,2.374120762011936,2.7952030073274794,3.604817611491525,2.681287016445261,2.0728667789875788,2.123172799117515
E2,8225,both,1,2.28115270451137,3.1759920186784263,3.289707253902943,3.2415155500846544,3.277836117098736,2.7658032403129873,2.996397374033843,3.2415155500846544
E2,8226,both,1,1.0549552813405048,0.9445334526332617,1.235960549583603,1.5193504241027762,1.0488010254160813,0.8953979284721731,0.9331295226688128,1.3489795003921634
E2,8227,both,1,1.9057644067364772,2.7210830364830567,1.9710226805672693,2.5794429180249514,2.1867827698697972,1.8248391305720895,1.7481095064184862,1.8793116915870791
E2,8228,both,1,2.9264051924960723,2.7952030073274794,3.5229542931495472,2.7952030073274794,3.289707253902943,3.3994954554785095,3.3917521079809543,3.5229542931495472
E2,8229,both,1,1.7918484158542587,1.8248391305720895,2.0369665919050703,1.27981553906851,2.374120762011936,2.486474860524386,2.28115270451137,3.1759920186784263
E2,8230,both,1,3.1759920186784263,2.634453734736135,3.1759920186784263,2.681287016445261,2.400268653311941,2.8391628536474247,2.7658032403129873,2.494749830740746
E2,8231,both,1,2.9264051924960723,2.4319009459206087,2.9264051924960723,2.3006987607520157,2.2629739581622736,2.915892477801028,2.626723194012514,2.4137261747099332
E2,8233,both,1,2.7210830364830567,2.7952030073274794,2.4759648604322453,2.2161408566180807,2.5898808513144638,2.5898808513144638,1.8780546230667037,1.9710226805672693
E2,8234,both,1,2.7952030073274794,3.919927969080107,2.7210830364830567,3.919927969080107,2.9264051924960723,3.3994954554785095,2.5898808513144638,3.6809341985434023
E3,1101,test,0,1.4589898037815203,1.27981553906851,1.3550727534581646,1.289780492629589,2.149082410812846,2.24261375299395,1.218844787601387,1.470669991817393
E3,1102,test,0,2.681287016445261,2.7210830364830567,2.7210830364830567,2.879062941876912,3.919927969080107,3.886256354556418,2.7210830364830567,3.289707253902943
E3,1103,test,0,3.3994954554785095,3.5229542931495472,2.7952030073274794,3.6809341985434023,2.4759648604322453,2.400268653311941,1.9919706139489222,2.28115270451137
E3,1104,test,0,2.7153790109005227,2.5794429180249514,1.9634929909158467,2.9968177539654155,2.996397374033843,2.7952030073274794,1.8248519373460235,2.2161408566180807
E3,1105,test,0,3.289707253902943,3.919927969080107,3.3994954554785095,3.277836117098736,3.1103133649160615,3.886256354556418,3.5229542931495472,3.0843850978899274
E3,1106,test,0,1.9710226805672693,2.28115270451137,1.710923139689871,1.7481095064184862,2.400268653311941,2.4843644972480945,1.6747498930840485,1.421753855901357
E3,1108,test,0,3.6809341985434023,3.289707253902943,3.3994954554785095,2.9264051924960723,3.886256354556418,2.7210830364830567,2.123172799117515,3.1103133649160615
E3,1109,test,0,2.037291596980934,1.8972572065968398,1.6041115705458875,1.758170834902831,2.037291596980934,1.7839537889179562,1.470669991817393,2.191278613988629
E3,1110,test,0,3.886256354556418,3.3994954554785095,3.2415155500846544,3.6809341985434023,4.201366712145,3.2415155500846544,2.28115270451137,3.5229542931495472
E3,1111,test,0,2.4137261747099332,1.6747498930840485,0.8416212335729144,2.149082410812846,1.2163611927518485,1.1727297691370482,0.8158312434662428,1.6286498972112482
E3,1112,test,0,2.9264051924960723,2.2161408566180807,2.681287016445261,2.996397374033843,3.289707253902943,2.24261375299395,1.56083390220183,2.634453734736135
E3,1113,test,0,1.6747498930840485,1.6041115705458875,1.3489795003921634,0.8718825131302659,1.6090790412695615,3.0843850978899274,1.5970362599333838,1.3531751524029478
E3,1114,test,0,2.5898808513144638,2.879062941876912,2.0849386714494877,2.4759648604322453,2.9264051924960723,2.4319009459206087,1.1602605975372895,2.486474860524386
E3,1115,test,0,1.8691785821469595,2.7210830364830567,1.7762105246463942,1.9710226805672693,2.5898808513144638,2.5794429180249514,1.7353137557144804,2.037291596980934
E3,1116,test,0,2.5898808513144638,3.0843850978899274,3.0843850978899274,2.996397374033843,2.7153790109005227,2.7658032403129873,2.1867827698697972,2.801585218112968
E3,1118,test,0,3.1103133649160615,2.801585218112968,2.1140212211345375,2.486474860524386,2.5794429180249514,2.123172799117515,2.634453734736135,1.7918484158542587
E3,1119,test,0,1.7762105246463942,3.3994954554785095,1.710923139689871,1.9919706139489222,2.4319009459206087,2.1758473883145855,1.6341935155362677,2.3452844509476214
E3,1120,test,0,2.486474860524386,1.9710226805672693,2.634453734736135,2.31798495503839,2.681287016445261,2.7210830364830567,2.24261375299395,2.7210830364830567
E3,1121,test,0,1.9919706139489222,1.6832424671458288,1.6090790412695615,2.267698105845762,3.277836117098736,2.0369665919050703,2.681287016445261,2.486474860524386
E3,1122,test,0,1.8780546230667037,2.3006987607520157,2.28115270451137,2.0676705659952357,1.9639319836464966,2.494749830740746,2.557724110582532,2.2133110876758533
E4,1205,test,1,2.31798495503839,2.0849386714494877,2.0369665919050703,2.5794429180249514,1.7762105246463942,1.9710226805672693,2.123172799117515,2.31798495503839
E4,1206,test,1,2.9264051924960723,2.4319009459206087,2.31798495503839,2.681287016445261,2.278603348504429,2.0301740933590393,2.149082410812846,2.3452844509476214
E4,1207,test,1,1.8793116915870791,2.1867827698697972,1.8059520782526415,2.5794429180249514,2.7952030073274794,2.0369665919050703,0.7071092933056794,1.8248391305720895
E4,1208,test,1,3.5229542931495472,3.2415155500846544,4.482805455209893,3.6809341985434023,3.6809341985434023,3.277836117098736,2.0369665919050703,3.5229542931495472
E4,1209,test,1,3.2415155500846544,4.482805455209893,4.201366712145,3.0843850978899274,3.919927969080107,3.289707253902943,3.604817611491525,3.604817611491525
E4,1210,test,1,2.2161408566180807,3.1103133649160615,2.1867827698697972,2.374120762011936,1.9057644067364772,2.0301740933590393,1.7353137557144804,2.28115270451137
E4,1211,test,1,4.482805455209893,3.886256354556418,3.604817611491525,4.201366712145,4.201366712145,4.201366712145,2.5898808513144638,3.886256354556418
E4,1212,test,1,3.604817611491525,2.801585218112968,2.8945532756135335,2.5600420915693216,3.277836117098736,2.801585218112968,1.3883514812433595,2.5794429180249514
E4,1214,test,1,3.604817611491525,3.886256354556418,3.6809341985434023,4.201366712145,3.6809341985434023,3.3994954554785095,2.7952030073274794,3.6809341985434023
E4,1215,test,1,3.886256354556418,2.374120762011936,2.9264051924960723,2.996397374033843,2.879062941876912,2.9264051924960723,2.7210830364830567,3.3994954554785095
E4,1216,test,1,2.7210830364830567,3.604817611491525,2.4759648604322453,2.801585218112968,2.879062941876912,2.879062941876912,2.0849386714494877,1.8780546230667037
E4,1217,test,1,3.604817611491525,3.0843850978899274,2.7952030073274794,3.919927969080107,4.482805455209893,3.604817611491525,2.681287016445261,3.3917521079809543
E4,1218,test,1,2.5898808513144638,3.919927969080107,2.8945532756135335,2.31798495503839,2.5898808513144638,3.1103133649160615,2.28115270451137,3.277836117098736
E4,1219,test,1,3.289707253902943,2.7952030073274794,3.0843850978899274,3.886256354556418,2.7952030073274794,3.2415155500846544,2.7952030073274794,3.5229542931495472
E4,1220,test,1,3.6809341985434023,3.604817611491525,2.879062941876912,3.2415155500846544,3.919927969080107,3.1103133649160615,3.3994954554785095,3.2415155500846544
E4,1221,test,1,3.0843850978899274,1.8691785821469595,2.5898808513144638,2.9264051924960723,3.0843850978899274,2.31798495503839,1.5323494171159582,2.879062941876912
E4,1222,test,1,1.3768246929952421,2.278603348504429,1.3768246929952421,1.6448536269514715,1.8113973386804154,2.390691283835511,0.6588564110708303,1.7465814045973944
E4,1223,test,1,3.6809341985434023,2.9968177539654155,2.8945532756135335,2.400268653311941,3.886256354556418,3.2415155500846544,2.5794429180249514,2.681287016445261
E4,1224,test,1,2.681287016445261,2.996397374033843,3.0830239611778607,3.5229542931495472,2.7952030073274794,2.681287016445261,2.5794429180249514,3.2415155500846544
E4,1225,test,1,3.3994954554785095,3.1103133649160615,3.289707253902943,3.3994954554785095,4.482805455209893,3.2415155500846544,3.886256354556418,4.201366712145
E4,1226,test,1,3.277836117098736,2.801585218112968,2.4137261747099332,2.0369665919050703,4.201366712145,3.2415155500846544,2.4137261747099332,3.289707253902943
E4,1227,test,1,3.5229542931495472,3.1103133649160615,2.4319009459206087,2.7210830364830567,3.3917521079809543,3.604817611491525,3.1759920186784263,3.3917521079809543
E4,1228,test,1,2.5794429180249514,2.801585218112968,3.277836117098736,3.0830239611778607,4.201366712145,2.5631031310892016,2.5631031310892016,2.4319009459206087
E4,1229,test,1,1.9639319836464966,2.5898808513144638,2.7210830364830567,2.8945532756135335,2.8945532756135335,2.7210830364830567,2.31798495503839,2.7210830364830567
E4,1230,test,1,1.7353137557144804,1.7353137557144804,1.3442583434878146,1.1955202520849568,2.486474860524386,2.4843644972480945,0.7135189389808331,1.8248391305720895
E4,1231,test,1,3.277836117098736,2.7952030073274794,2.5898808513144638,3.1103133649160615,2.996397374033843,3.1103133649160615,2.695164917774826,2.915892477801028
E4,1232,test,1,1.8339720532242638,1.758170834902831,1.6928785740742556,2.1949464972989254,1.6090790412695615,1.6341935155362677,1.5356698467835754,1.8780546230667037
E4,1233,test,1,2.681287016445261,2.4759648604322453,2.7952030073274794,2.4759648604322453,2.5631031310892016,3.3994954554785095,2.123172799117515,2.7210830364830567
E4,1234,test,1,4.201366712145,3.289707253902943,2.9264051924960723,3.6809341985434023,3.6809341985434023,4.482805455209893,2.28115270451137,2.7952030073274794
E4,1235,test,1,1.9919706139489222,2.374120762011936,2.24261375299395,2.5794429180249514,2.7210830364830567,2.5898808513144638,1.4299047765565511,3.2415155500846544
